Date,Discharge
2017-11-18,1609.5233
2017-11-19,1643.5526
2017-11-20,1678.7648
2017-11-21,1670.5582
2017-11-22,1684.5659
2017-11-23,1676.6542
2017-11-24,1664.0066
2017-11-25,1675.9213
2017-11-26,1707.7208
2017-11-27,1739.8113
2017-11-28,1727.6992
2017-11-29,1737.1484
2017-11-30,1724.1735
2017-12-01,1706.1206
2017-12-02,1712.4591
2017-12-03,1738.686
2017-12-04,1765.3799
2017-12-05,1748.2123
2017-12-06,1753.1002
2017-12-07,1736.1936
2017-12-08,1714.9529
2017-12-09,1718.9364
2017-12-10,1743.7026
2017-12-11,1769.8622
2017-12-12,1753.0872
2017-12-13,1759.2648
2017-12-14,1744.4847
2017-12-15,1726.1198
2017-12-16,1733.6136
2017-12-17,1762.3888
2017-12-18,1792.901
2017-12-19,1780.6545
2017-12-20,1791.3591
2017-12-21,1780.9241
2017-12-22,1766.544
2017-12-23,1777.4912
2017-12-24,1809.0297
2017-12-25,1841.4735
2017-12-26,1830.2073
